Time Stamp= 2010-03-23 03:27:00
0.560	0.000	241.875	73.186	-38.105	2.397	0.928	0.262	2.550	17.001	73.279
0.570	0.000	270.000	80.236	15.328	1.920	0.770	-0.600	2.550	17.001	73.279
0.580	0.000	67.500	70.389	-33.310	2.606	0.949	0.135	2.550	17.001	73.279
Time Stamp= 2010-03-23 06:27:00
0.025	0.000	233.438	61.996	-0.826	1.960	0.002	0.291	2.550	16.980	73.259
0.030	0.000	267.188	66.360	-3.356	2.493	0.561	0.346	2.550	16.980	73.259
0.035	0.002	260.156	63.003	-0.204	2.199	0.189	0.053	2.550	16.980	73.259
0.040	0.007	271.406	63.451	-1.101	2.329	0.299	0.229	2.550	16.980	73.259
0.045	0.011	262.969	65.353	-1.649	2.119	0.191	0.424	2.550	16.980	73.259
0.050	0.071	241.875	34.467	-2.120	5.118	0.611	0.182	2.550	16.980	73.259
0.055	0.044	223.594	41.965	-0.460	3.262	0.396	0.076	2.550	16.980	73.259
0.060	0.009	255.938	50.134	0.724	3.479	0.488	-0.094	2.550	16.980	73.259
0.065	0.029	240.469	36.593	0.981	5.580	0.648	-0.072	2.550	16.980	73.259
0.070	0.033	240.469	43.867	-5.824	5.687	0.805	0.178	2.550	16.980	73.259
0.075	0.162	240.469	40.174	-1.706	7.473	0.920	0.014	1.930	16.980	73.259
0.080	0.060	234.844	41.853	10.806	6.756	0.895	-0.131	2.550	16.980	73.259
0.085	0.020	220.781	56.401	-1.433	2.847	0.398	0.236	1.790	16.980	73.259
0.090	0.054	230.625	29.655	-0.929	10.686	0.848	0.020	1.610	16.980	73.259
0.095	0.050	237.656	26.745	-1.712	12.516	0.861	0.031	1.590	16.980	73.259
0.100	0.068	223.594	31.669	0.655	7.694	0.748	-0.029	1.260	16.980	73.259
0.110	0.041	219.375	40.734	-1.127	5.880	0.740	0.053	1.350	16.980	73.259
0.120	0.031	217.969	40.398	-0.927	6.086	0.758	0.039	1.210	16.980	73.259
0.130	0.016	213.750	45.322	1.897	4.886	0.705	-0.107	1.100	16.980	73.259
0.140	0.011	246.094	49.686	0.885	2.770	0.279	-0.191	1.200	16.980	73.259
0.150	0.022	288.281	35.138	-0.816	5.858	0.662	0.057	1.110	16.980	73.259
0.160	0.063	291.094	25.738	-0.000	9.270	0.785	0.000	1.040	16.980	73.259
0.170	0.197	295.312	25.515	0.179	7.556	0.752	-0.008	1.000	16.980	73.259
0.180	0.174	302.344	37.600	0.108	4.381	0.545	-0.012	0.950	16.980	73.259
0.190	0.178	305.156	35.922	-0.348	4.564	0.566	0.035	1.110	16.980	73.259
0.200	0.248	309.375	24.284	1.089	10.646	0.812	-0.031	1.030	16.980	73.259
0.210	0.163	305.156	26.634	0.961	8.723	0.771	-0.037	0.970	16.980	73.259
0.220	0.124	310.781	32.900	-1.054	4.802	0.602	0.094	1.010	16.980	73.259
0.230	0.160	316.406	26.745	-1.648	8.649	0.770	0.064	1.000	16.980	73.259
0.240	0.109	306.562	31.781	-0.543	5.449	0.643	0.041	1.020	16.980	73.259
0.250	0.114	309.375	33.236	-0.432	4.539	0.584	0.041	1.040	16.980	73.259
0.260	0.096	317.812	29.655	0.446	5.460	0.660	-0.031	0.980	16.980	73.259
0.270	0.060	317.812	36.593	-0.618	4.477	0.557	0.064	1.070	16.980	73.259
0.280	0.061	313.594	32.788	-0.646	5.549	0.643	0.049	1.060	16.980	73.259
0.290	0.040	303.750	40.846	0.236	3.515	0.438	-0.035	1.030	16.980	73.259
0.300	0.030	307.969	42.300	-1.050	4.012	0.506	0.129	0.960	16.980	73.259
0.310	0.031	317.812	40.622	-0.654	3.211	0.400	0.107	1.070	16.980	73.259
0.320	0.020	315.000	48.679	-0.514	2.708	0.262	0.115	1.100	16.980	73.259
0.330	0.026	303.750	40.174	0.104	3.466	0.436	-0.016	1.030	16.980	73.259
0.340	0.018	305.156	45.434	-0.559	2.992	0.334	0.107	1.030	16.980	73.259
0.350	0.023	320.625	38.608	-0.171	4.869	0.594	0.016	0.950	16.980	73.259
0.360	0.020	310.781	36.705	0.066	6.129	0.695	-0.004	1.000	16.980	73.259
0.370	0.022	298.125	43.755	0.525	4.849	0.658	-0.037	0.850	16.980	73.259
0.380	0.012	319.219	48.343	0.337	3.214	0.391	-0.057	1.110	16.980	73.259
0.390	0.013	316.406	39.279	-0.282	4.337	0.539	0.031	1.050	16.980	73.259
0.400	0.013	316.406	42.972	-0.769	3.346	0.404	0.125	1.080	16.980	73.259
0.410	0.012	302.344	44.539	0.009	2.779	0.299	-0.002	1.050	16.980	73.259
0.420	0.009	299.531	56.624	-0.562	2.638	0.305	0.115	0.960	16.980	73.259
0.430	0.009	313.594	49.462	-0.379	3.201	0.398	0.062	0.970	16.980	73.259
