Time Stamp= 2012-02-01 00:20:00
0.270	0.069	92.812	34.355	0.525	-0.070	1.040
0.280	0.054	104.062	35.586	0.486	0.057	1.000
0.290	0.047	104.062	38.272	0.396	0.016	1.010
0.300	0.045	97.031	36.817	0.568	0.010	0.940
0.310	0.046	104.062	35.362	0.633	0.029	0.950
0.320	0.034	95.625	38.272	0.527	0.068	0.940
0.330	0.033	97.031	41.629	0.389	0.070	0.910
0.340	0.032	98.438	37.265	0.473	-0.027	0.990
0.350	0.023	91.406	40.286	0.406	0.049	1.020
0.360	0.021	99.844	40.510	0.400	0.080	0.960
0.370	0.015	95.625	40.286	0.471	0.154	1.060
0.380	0.011	85.781	42.860	0.473	0.080	1.140
0.390	0.018	91.406	43.419	0.404	0.021	0.970
0.400	0.014	104.062	50.917	0.381	0.088	0.770
0.410	0.015	99.844	43.084	0.492	0.133	1.000
0.420	0.013	92.812	48.567	0.367	-0.125	0.770
0.430	0.009	82.969	54.946	0.264	-0.203	0.910
0.440	0.008	91.406	48.791	0.633	-0.045	0.980
0.450	0.008	85.781	50.581	0.459	0.057	1.050
0.460	0.008	95.625	54.162	0.207	-0.002	0.970
0.470	0.008	78.750	53.827	0.312	0.238	0.920
0.480	0.008	82.969	55.393	0.344	0.256	0.890
0.490	0.006	88.594	57.072	0.459	0.109	0.990
0.500	0.006	88.594	50.693	0.301	0.154	0.890
0.510	0.004	80.156	59.870	0.201	0.215	1.050
0.520	0.004	133.594	61.324	0.184	-0.172	0.790
0.530	0.004	106.875	56.848	0.396	0.141	0.650
0.540	0.004	101.250	58.974	0.332	-0.064	0.650
0.550	0.004	82.969	57.408	0.305	0.096	0.620
0.560	0.003	94.219	52.820	0.611	0.082	0.650
0.570	0.004	85.781	62.779	0.447	0.117	0.470
0.580	0.004	78.750	65.129	0.084	0.227	0.470
Time Stamp= 2012-02-01 01:20:00
0.025	0.000	351.562	79.341	-0.566	-0.125	2.550
0.030	0.000	30.938	68.486	-0.266	0.070	2.550
0.035	0.001	135.000	78.558	0.098	0.039	2.550
0.040	0.002	115.312	58.415	0.320	-0.180	2.550
0.045	0.003	112.500	59.086	0.480	-0.311	2.550
0.050	0.005	122.344	49.686	0.215	0.158	2.550
0.055	0.007	147.656	56.736	0.057	0.064	2.550
0.060	0.029	149.062	32.005	0.879	0.031	2.550
0.065	0.247	154.688	20.703	0.938	-0.004	2.190
0.070	1.000	157.500	19.136	0.959	-0.039	2.000
0.075	1.000	158.906	15.891	0.959	-0.014	1.810
0.080	0.519	160.312	12.422	0.963	-0.002	1.700
0.085	0.133	157.500	19.024	0.875	-0.006	1.800
0.090	0.054	154.688	30.326	0.715	0.021	1.680
0.095	0.042	157.500	19.584	0.914	-0.018	1.670
0.100	0.029	150.469	31.781	0.650	0.043	1.520
0.110	0.026	132.188	38.608	0.480	0.023	1.400
0.120	0.064	109.688	26.186	0.725	-0.031	1.220
0.130	0.145	105.469	21.598	0.805	-0.004	1.180
0.140	0.294	98.438	20.367	0.838	0.008	1.110
0.150	0.262	101.250	26.186	0.795	-0.068	1.070
0.160	0.176	102.656	26.857	0.713	-0.045	1.070
0.170	0.186	104.062	26.186	0.670	-0.039	0.980
0.180	0.167	101.250	23.612	0.736	-0.033	0.990
0.190	0.222	99.844	21.486	0.775	-0.018	0.970
0.200	0.156	102.656	24.284	0.727	0.010	1.000
0.210	0.131	99.844	26.522	0.732	0.012	1.020
0.220	0.098	98.438	31.669	0.564	-0.014	1.020
0.230	0.069	101.250	34.131	0.531	0.014	1.060
0.240	0.074	97.031	26.410	0.740	-0.002	0.980
0.250	0.044	87.188	31.110	0.598	-0.051	1.020
0.260	0.035	92.812	29.767	0.670	-0.029	1.090
0.270	0.036	94.219	34.243	0.508	-0.051	1.090
0.280	0.030	99.844	36.257	0.461	-0.088	1.040
0.290	0.026	97.031	38.719	0.463	-0.012	0.840
0.300	0.030	97.031	34.915	0.588	0.008	0.920
0.310	0.018	95.625	37.824	0.574	0.016	1.130
0.320	0.014	99.844	41.853	0.508	0.053	1.130
0.330	0.016	97.031	38.496	0.455	0.025	1.100
0.340	0.018	98.438	33.460	0.648	-0.020	1.000
0.350	0.012	104.062	40.846	0.578	0.020	1.050
0.360	0.012	98.438	37.377	0.742	-0.061	1.020
0.370	0.008	105.469	45.881	0.555	0.053	1.170
0.380	0.009	85.781	45.769	0.459	-0.006	1.000
