Time Stamp= 2011-09-10T06:52:00  0.025 	  0.017 	334.688 	 34.803 	 65.741 	 10.353 	  0.330 	 17.528 	 78.401 	
  0.030 	  0.800 	334.688 	 46.217 	161.185 	  6.064 	  0.330 	 17.528 	 78.401 	
  0.035 	  9.749 	333.281 	 47.000 	252.570 	  5.893 	  0.280 	 17.528 	 78.401 	
  0.040 	 16.317 	330.469 	 47.112 	517.306 	  5.890 	  0.250 	 17.528 	 78.401 	
  0.045 	 10.937 	327.656 	 48.567 	384.000 	  5.559 	  0.230 	 17.528 	 78.401 	
  0.050 	  5.973 	323.438 	 52.931 	-184.889 	  4.639 	  0.210 	 17.528 	 78.401 	
  0.055 	  3.770 	323.438 	 56.960 	-72.396 	  3.951 	  0.220 	 17.528 	 78.401 	
  0.060 	  2.697 	327.656 	 56.736 	-115.673 	  4.018 	  0.230 	 17.528 	 78.401 	
  0.065 	  1.844 	333.281 	 55.058 	-337.736 	  4.309 	  0.240 	 17.528 	 78.401 	
  0.070 	  1.249 	337.500 	 52.148 	192.000 	  4.823 	  0.240 	 17.528 	 78.401 	
  0.075 	  0.925 	341.719 	 47.000 	309.114 	  5.901 	  0.240 	 17.528 	 78.401 	
  0.080 	  0.710 	343.125 	 41.405 	 84.000 	  7.430 	  0.230 	 17.528 	 78.401 	
  0.085 	  0.534 	343.125 	 36.257 	 37.821 	  9.234 	  0.210 	 17.528 	 78.401 	
  0.090 	  0.405 	343.125 	 32.788 	 20.455 	 10.393 	  0.190 	 17.528 	 78.401 	
  0.095 	  0.317 	340.312 	 31.781 	 13.372 	 10.071 	  0.160 	 17.528 	 78.401 	
  0.100 	  0.252 	337.500 	 34.915 	 10.847 	  8.137 	  0.140 	 17.528 	 78.401 	
  0.110 	  0.166 	326.250 	 49.350 	 31.692 	  5.101 	  0.110 	 17.528 	 78.401 	
  0.120 	  0.110 	319.219 	 61.212 	-99.000 	  3.457 	  0.120 	 17.528 	 78.401 	
  0.130 	  0.076 	329.062 	 60.093 	-443.405 	  3.627 	  0.150 	 17.528 	 78.401 	
  0.140 	  0.054 	336.094 	 52.036 	163.556 	  4.798 	  0.150 	 17.528 	 78.401 	
  0.150 	  0.038 	337.500 	 44.091 	 46.309 	  6.432 	  0.140 	 17.528 	 78.401 	
  0.160 	  0.028 	334.688 	 40.734 	 29.254 	  7.287 	  0.110 	 17.528 	 78.401 	
  0.170 	  0.021 	326.250 	 47.112 	 55.199 	  5.737 	  0.090 	 17.528 	 78.401 	
  0.180 	  0.015 	319.219 	 57.520 	-94.742 	  3.911 	  0.080 	 17.528 	 78.401 	
  0.190 	  0.012 	323.438 	 62.891 	-110.165 	  3.280 	  0.090 	 17.528 	 78.401 	
  0.200 	  0.009 	330.469 	 62.555 	-86.218 	  3.347 	  0.100 	 17.528 	 78.401 	
  0.210 	  0.007 	334.688 	 60.877 	209.023 	  3.525 	  0.100 	 17.528 	 78.401 	
  0.220 	  0.005 	340.312 	 60.989 	 70.206 	  3.460 	  0.090 	 17.528 	 78.401 	
  0.230 	  0.004 	344.531 	 60.541 	 34.449 	  3.432 	  0.090 	 17.528 	 78.401 	
  0.240 	  0.003 	354.375 	 59.422 	 10.348 	  3.202 	  0.090 	 17.528 	 78.401 	
  0.250 	  0.002 	358.594 	 59.758 	  4.481 	  2.651 	  0.080 	 17.528 	 78.401 	
  0.260 	  0.002 	  0.000 	 65.577 	  2.647 	  1.961 	  0.070 	 17.528 	 78.401 	
  0.270 	  0.001 	333.281 	 76.655 	 12.914 	  2.071 	  0.070 	 17.528 	 78.401 	
  0.280 	  0.001 	237.656 	 78.110 	 -0.193 	  1.026 	  0.080 	 17.528 	 78.401 	
  0.290 	  0.001 	309.375 	 78.670 	-16.993 	  2.003 	  0.100 	 17.528 	 78.401 	
  0.300 	  0.001 	345.938 	 71.172 	 23.151 	  2.463 	  0.100 	 17.528 	 78.401 	
  0.310 	  0.001 	350.156 	 61.548 	  8.680 	  2.932 	  0.090 	 17.528 	 78.401 	
  0.320 	  0.000 	341.719 	 59.534 	  5.282 	  2.827 	  0.080 	 17.528 	 78.401 	
  0.330 	  0.000 	300.938 	 64.122 	  6.736 	  3.074 	  0.060 	 17.528 	 78.401 	
  0.340 	  0.000 	226.406 	 60.205 	 -0.280 	  1.181 	  0.060 	 17.528 	 78.401 	
  0.350 	  0.000 	212.344 	 59.422 	  1.416 	  1.690 	  0.080 	 17.528 	 78.401 	
  0.360 	  0.000 	215.156 	 71.060 	  1.707 	  1.522 	  0.090 	 17.528 	 78.401 	
  0.370 	  0.000 	291.094 	 74.753 	 -2.353 	  1.596 	  0.090 	 17.528 	 78.401 	
  0.380 	  0.000 	329.062 	 66.808 	-39.837 	  2.872 	  0.080 	 17.528 	 78.401 	
  0.390 	  0.000 	322.031 	 58.974 	-15.561 	  3.567 	  0.060 	 17.528 	 78.401 	
  0.400 	  0.000 	292.500 	 63.115 	 -2.916 	  2.317 	  0.050 	 17.528 	 78.401 	
  0.410 	  0.000 	229.219 	 65.913 	  1.115 	  1.575 	  0.040 	 17.528 	 78.401 	
  0.420 	  0.000 	164.531 	 62.891 	 -2.892 	  3.158 	  0.050 	 17.528 	 78.401 	
  0.430 	  0.000 	151.875 	 61.548 	-16.351 	  3.238 	  0.060 	 17.528 	 78.401 	
  0.440 	  0.000 	127.969 	 64.793 	 -8.140 	  2.667 	  0.070 	 17.528 	 78.401 	
  0.450 	  0.000 	132.188 	 72.067 	-19.340 	  2.394 	  0.070 	 17.528 	 78.401 	
  0.460 	  0.000 	122.344 	 76.767 	 -7.306 	  1.952 	  0.080 	 17.528 	 78.401 	
  0.470 	  0.000 	 42.188 	 75.201 	  0.683 	  1.179 	  0.080 	 17.528 	 78.401 	
  0.480 	  0.000 	 39.375 	 69.158 	  0.511 	  1.316 	  0.070 	 17.528 	 78.401 	
  0.490 	  0.000 	 77.344 	 69.494 	 -1.643 	  1.817 	  0.070 	 17.528 	 78.401 	
  0.500 	  0.000 	137.812 	 69.717 	  2.985 	  2.162 	  0.080 	 17.528 	 78.401 	
  0.510 	  0.000 	178.594 	 64.122 	  0.978 	  1.645 	  0.090 	 17.528 	 78.401 	
  0.520 	  0.000 	194.062 	 59.758 	  1.173 	  1.733 	  0.100 	 17.528 	 78.401 	
  0.530 	  0.000 	205.312 	 67.367 	  1.293 	  1.520 	  0.100 	 17.528 	 78.401 	
  0.540 	  0.000 	237.656 	 74.305 	  0.011 	  1.083 	  0.090 	 17.528 	 78.401 	
